time	co2
0.0	266
0.2	289
0.3	246
0.5	293
0.5	255
0.9	278
0.9	243
1.0	430
1.0	252
1.2	266
1.3	271
1.5	279
1.5	277
1.8	270
2.0	358
2.1	274
2.1	254
2.3	273
2.6	258
2.6	267
2.7	276
2.8	283
2.8	299
2.8	303
2.9	399
2.9	323
2.9	333
3.0	402
3.0	372
3.0	468
3.0	428
3.1	353
3.1	344
3.2	336
3.2	335
3.2	341
3.4	358
3.5	366
3.5	80
3.6	362
3.8	357
3.9	355
3.9	338
4.0	363
4.0	329
4.1	354
4.3	381
4.4	351
4.6	370
4.6	270
4.8	351
4.9	383
4.9	422
5.0	324
5.0	448
5.1	358
5.2	457
5.2	328
5.2	304
5.3	229
5.4	268
5.8	246
6.0	292
6.1	256
6.4	259
6.8	286
7.0	148
7.2	249
7.2	270
7.3	271
7.4	304
7.6	237
7.8	201
8.0	133
8.0	340
8.2	206
8.3	244
8.5	350
8.6	237
8.7	254
9.0	204
9.0	228
9.1	234
9.1	276
9.4	224
9.6	265
9.6	271
9.6	241
9.6	211
9.8	254
9.9	233
9.9	242
10.0	448
10.0	468
10.1	252
10.2	262
10.2	251
10.3	250
10.5	258
10.5	370
10.6	229
10.7	253
10.9	234
10.9	245
11.0	510
11.1	226
11.3	239
11.4	217
11.5	210
11.6	232
11.6	332
11.9	252
12.0	468
12.1	344
12.1	219
12.2	208
12.2	214
12.3	219
12.5	224
12.7	216
12.7	208
12.8	433
12.8	230
12.9	217
12.9	235
13.0	296
13.0	176
13.0	420
13.1	211
13.1	519
13.2	385
13.2	232
13.3	237
13.3	235
13.4	227
13.4	230
13.5	230
13.5	209
13.6	194
13.7	219
13.8	310
13.9	287
13.9	293
14.0	133
14.1	237
14.2	226
14.4	203
14.5	211
14.7	116
14.9	243
15.0	236
15.1	433
15.1	226
15.1	291
15.1	221
15.2	338
15.2	193
15.3	338
15.3	314
15.3	205
15.4	208
15.5	211
15.6	852
15.7	469
15.7	555
15.7	552
15.8	564
16.0	579
16.1	389
16.1	487
16.1	219
16.2	181
16.3	184
16.3	245
16.4	206
16.5	535
16.5	393
16.6	226
16.8	393
16.8	425
16.8	240
17.2	390
17.3	239
17.3	213
17.3	211
17.4	229
17.5	222
17.5	236
17.5	244
17.6	228
17.6	223
17.6	341
17.6	388
17.6	374
17.6	218
17.7	224
17.7	224
17.8	227
17.8	240
17.8	226
17.9	208
17.9	223
18.1	234
18.1	408
18.3	259
18.3	227
18.4	227
18.5	228
18.5	221
18.6	239
18.6	223
18.9	231
19.0	397
19.0	459
19.0	236
19.1	368
19.2	224
19.2	243
19.4	236
19.5	220
19.7	217
20.0	265
20.0	332
20.0	255
20.0	460
20.2	214
20.3	313
20.4	367
20.5	329
20.5	214
20.8	289
20.8	211
20.8	208
20.8	321
20.9	247
21.0	312
21.1	269
21.5	295
22.1	333
22.2	326
22.7	266
23.3	217
23.8	264
23.9	258
23.9	336
23.9	278
24.2	264
24.4	253
24.5	229
24.5	306
24.6	264
24.7	423
24.7	473
24.7	750
24.9	341
25.0	353
25.0	588
25.0	588
25.0	302
25.1	592
25.2	356
25.3	364
26.0	443
26.1	413
26.1	398
26.5	365
27.1	582
27.4	535
28.6	438
28.7	383
28.9	519
29.5	321
30.0	503
30.1	380
30.2	530
30.2	579
30.3	333
30.6	553
32.2	1158
32.7	847
32.9	832
33.0	1071
33.0	676
33.0	626
33.1	1232
33.2	789
33.3	1108
33.5	1161
33.6	764
34.0	960
34.1	1093
34.2	1075
34.4	901
34.4	1048
34.5	672
34.6	877
34.8	872
35.2	709
35.4	786
35.8	968
36.0	768
36.7	746
37.0	807
38.4	839
38.4	774
38.4	660
38.4	881
38.4	711
38.4	1024
38.4	551
38.4	749
38.4	497
38.4	450
40.0	670
42.5	996
42.7	1480
42.9	768
43.2	1041
44.5	1176
44.5	965
45.0	780
47.3	908
52.2	1868
52.2	659
53.4	814
54.0	443
54.1	327
54.1	515
54.1	231
54.5	378
55.4	461
55.4	479
55.5	328
55.5	100
55.5	500
55.7	487
55.8	667
55.9	579
55.9	307
55.9	307
55.9	307
55.9	520
56.0	304
56.0	428
56.0	100
56.0	600
56.2	313
56.3	316
56.4	320
56.5	816
56.5	315
56.5	318
56.5	318
57.0	469
57.0	474
57.9	447
58.4	583
59.1	535
59.1	574
61.5	317
64.3	400
64.5	367
64.6	330
64.8	340
65.0	343
65.0	470

