time	co2
0.00	276.01
0.50	275.73
1.00	287.21
1.50	290.03
2.00	295.99
2.50	298.02
3.00	299.35
3.50	302.99
4.00	298.33
4.50	300.00
5.00	302.58
5.50	316.98
6.00	319.11
6.50	320.22
7.00	321.30
7.50	323.48
8.00	307.94
8.50	307.34
9.00	305.75
9.50	303.88
10.00	301.66
10.50	299.40
11.00	302.28
11.50	304.17
12.00	302.62
12.50	301.76
13.00	302.03
13.50	302.88
14.00	306.53
14.50	306.58
15.00	311.09
15.50	308.28
16.00	309.27
16.50	311.35
17.00	314.57
17.50	317.72
18.00	318.43
18.50	322.31
19.00	329.95
19.50	338.28
20.00	347.04
20.50	353.00
21.00	357.73
21.50	353.38
22.00	364.28
22.50	386.96
23.00	405.42
23.50	422.13
24.00	442.57
24.50	467.05
25.00	489.12
25.50	497.88
26.00	518.95
26.50	542.70
27.00	571.25
27.50	595.24
28.00	611.44
28.50	631.02
29.00	648.54
29.50	673.59
30.00	693.51
30.50	740.87
31.00	763.85
31.50	803.95
32.00	836.26
32.50	857.90
33.00	867.91
33.50	881.50
34.00	896.72
34.50	893.53
35.00	904.18
35.50	904.32
36.00	900.70
36.50	894.77
37.00	894.98
37.50	886.26
38.00	860.04
38.50	841.87
39.00	814.58
39.50	795.57
40.00	768.22
40.50	794.57
41.00	766.13
41.50	749.27
42.00	736.23
42.50	717.84
43.00	723.59
43.50	701.63
44.00	732.40
44.50	751.41
45.00	768.61
45.50	777.06
46.00	790.45
46.50	802.80
47.00	817.34
47.50	833.98
48.00	811.38
48.50	850.04
49.00	853.41
49.50	843.32
50.00	827.61
50.50	812.64
51.00	786.20
51.50	755.57
52.00	730.23
52.50	744.05
53.00	726.72
53.50	701.62
54.00	669.94
54.50	636.54
55.00	604.41
55.50	577.47
56.00	565.49
56.50	535.85
57.00	497.39
57.50	455.74
58.00	417.94
58.50	390.44
59.00	380.40
59.50	364.39
60.00	350.14
60.50	336.38
61.00	328.65
61.50	315.58
62.00	309.78
62.50	304.22
63.00	288.17
63.50	275.40
64.00	261.70
64.50	256.67
65.00	244.44
65.50	235.40
66.00	228.84
