Aldabrachelys gigantea
Astrochelys radiata
Astrochelys yniphora
Centrochelys sulcata
Chelonoidis abingdonii
Chelonoidis becki
Chelonoidis carbonarius
Chelonoidis chathamensis
Chelonoidis chilensis
Chelonoidis darwini
Chelonoidis denticulatus
Chelonoidis donfaustoi
Chelonoidis duncanensis
Chelonoidis guntheri
Chelonoidis hoodensis
Chelonoidis microphyes
Chelonoidis niger
Chelonoidis phantasticus
Chelonoidis porteri
Chelonoidis vandenburghi
Chelonoidis vicina
Chersina angulata
Chersobius boulengeri
Chersobius signatus
Chersobius solus
Geochelone elegans
Geochelone platynota
Gopherus agassizii
Gopherus berlandieri
Gopherus evgoodei
Gopherus flavomarginatus
Gopherus morafkai
Gopherus polyphemus
Homopus areolatus
Homopus femoralis
Indotestudo elongata
Indotestudo forstenii
Indotestudo travancorica
Kinixys belliana
Kinixys erosa
Kinixys homeana
Kinixys lobatsiana
Kinixys natalensis
Kinixys nogueyi
Kinixys spekii
Kinixys zombensis
Malacochersus tornieri
Manouria emys
Manouria impressa
Psammobates geometricus
Psammobates oculiferus
Psammobates tentorius
Pyxis arachnoides
Pyxis planicauda
Stigmochelys pardalis
Testudo graeca
Testudo hermanni
Testudo horsfieldii
Testudo kleinmanni
Testudo marginata
