"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"150870","occ","","","13449","Miotestudo ibba","species","86855","Miocene","","23.03","5.333","6063"
"212209","occ","25905","","21336","Stigmochelys crassa","species","203525","Zanclean","","5.333","3.6","4924"
"213562","occ","","","21855","Namibchersus namaquensis","species","203528","Middle Miocene","","15.97","11.608","4922"
"213571","occ","35061","","21855","Mesochersus orangeus","species","374264","Middle Miocene","","15.97","11.608","66484"
"217875","occ","","","22234","Gigantochersina ammon","species","86271","Zanclean","","5.333","3.6","4648"
"219150","occ","","","22489","Testudo graeca","species","364325","Pleistocene","","2.588","0.0117","5619"
"219957","occ","","","22642","Gopherus hexagonatus","species","105238","Pleistocene","","2.588","0.0117","5717"
"224583","occ","","","21795","Stigmochelys brachygularis","species","374269","Piacenzian","","3.6","2.588","4451"
"224584","occ","","","21795","Geochelone laetoliensis","species","374268","Piacenzian","","3.6","2.588","4451"
"224619","occ","","","21798","Stigmochelys brachygularis","species","374269","Piacenzian","","3.6","2.588","4451"
"224620","occ","","","21798","Geochelone laetoliensis","species","374268","Piacenzian","","3.6","2.588","4451"
"224642","occ","","","21799","Stigmochelys brachygularis","species","374269","Piacenzian","","3.6","2.588","4451"
"224643","occ","","","21799","Geochelone laetoliensis","species","374268","Piacenzian","","3.6","2.588","4451"
"224668","occ","","","21800","Stigmochelys brachygularis","species","374269","Piacenzian","","3.6","2.588","4451"
"224693","occ","","","21801","Geochelone laetoliensis","species","374268","Piacenzian","","3.6","2.588","4451"
"224828","occ","","","21810","Stigmochelys brachygularis","species","374269","Piacenzian","","3.6","2.588","4451"
"224877","occ","","","21812","Stigmochelys brachygularis","species","374269","Piacenzian","","3.6","2.588","4451"
"224896","occ","","","21813","Stigmochelys brachygularis","species","374269","Piacenzian","","3.6","2.588","4451"
"224916","occ","","","21816","Stigmochelys brachygularis","species","374269","Gelasian","","2.588","1.806","4451"
"225376","occ","","","21831","Stigmochelys brachygularis","species","374269","Piacenzian","","3.6","2.588","4451"
"225377","occ","","","21831","Geochelone laetoliensis","species","374268","Piacenzian","","3.6","2.588","4451"
"225661","occ","","","21902","Geochelone sulcata","species","376122","Holocene","","0.0117","0","5230"
"226150","occ","","","21958","Geochelone sulcata","species","376122","Holocene","","0.0117","0","5230"
