Species	Status	min_age	max_age
Miotestudo_ibba	extinct	5.333	23.03
Stigmochelys_crassa	extinct	3.6	5.333
Namibchersus_namaquensis	extinct	11.608	15.97
Mesochersus_orangeus	extinct	11.608	15.97
Gigantochersina_ammon	extinct	3.6	5.333
Testudo_graeca	extant	0.0117	2.588
Gopherus_hexagonatus	extinct	0.0117	2.588
Stigmochelys_brachygularis	extinct	2.588	3.6
Geochelone_laetoliensis	extinct	2.588	3.6
Stigmochelys_brachygularis	extinct	2.588	3.6
Geochelone_laetoliensis	extinct	2.588	3.6
Stigmochelys_brachygularis	extinct	2.588	3.6
Geochelone_laetoliensis	extinct	2.588	3.6
Stigmochelys_brachygularis	extinct	2.588	3.6
Geochelone_laetoliensis	extinct	2.588	3.6
Stigmochelys_brachygularis	extinct	2.588	3.6
Stigmochelys_brachygularis	extinct	2.588	3.6
Stigmochelys_brachygularis	extinct	2.588	3.6
Stigmochelys_brachygularis	extinct	1.806	2.588
Stigmochelys_brachygularis	extinct	2.588	3.6
Geochelone_laetoliensis	extinct	2.588	3.6
Geochelone_sulcata	extinct	0	0.0117
Geochelone_sulcata	extinct	0	0.0117
Kinixys_erosa	extant	0	0.0117
Geochelone_stromeri	extinct	2.588	23.03
Geochelone_pardalis	extinct	0	2.588
Hesperotestudo_orthopygia	extinct	10.3	13.6
Gopherus_polyphemus	extant	0.0117	0.126
Hesperotestudo_turgida	extinct	0.0117	0.126
Hesperotestudo_turgida	extinct	0.0117	0.126
Hesperotestudo_orthopygia	extinct	13.6	15.97
Geochelone_(Hesperotestudo)_orthopygia	extinct	13.6	15.97
Geochelone_(Hesperotestudo)_orthopygia	extinct	13.6	15.97
Geochelone_(Hesperotestudo)_orthopygia	extinct	13.6	15.97
Geochelone_(Hesperotestudo)_angusticeps	extinct	15.97	20.43
Geochelone_(Hesperotestudo)_orthopygia	extinct	13.6	15.97
Hesperotestudo_orthopygia	extinct	13.6	15.97
Gopherus_polyphemus	extant	0.3	1.8
Hesperotestudo_crassiscutata	extinct	0.3	1.8
Hesperotestudo_turgida	extinct	0.3	1.8
Geochelone_(Hesperotestudo)_orthopygia	extinct	10.3	13.6
Geochelone_(Hesperotestudo)_orthopygia	extinct	13.6	15.97
Hesperotestudo_turgida	extinct	1.8	4.9
Geochelone_(Hesperotestudo)_orthopygia	extinct	13.6	15.97
Geochelone_sulcata	extinct	5.333	11.608
Geochelone_sulcata	extinct	5.333	11.608
Geochelone_sulcata	extinct	5.333	11.608
Geochelone_sulcata	extinct	5.333	11.608
Geochelone_sulcata	extinct	5.333	11.608
Geochelone_laetoliensis	extinct	2.588	5.333
Stigmochelys_brachygularis	extinct	2.588	5.333
Centrochelys_marocana	extinct	2.588	3.6
Testudo_globosa	extinct	3.2	4.2
Testudo_antiqua	extinct	3.2	4.2
Chersine_hermanni	extinct	0.781	1.806
Gopherus_polyphemus	extant	0.0117	0.126
Testudo_globosa	extinct	2.588	4.2
Chersine_hermanni	extinct	0.0117	5.333
Chersine_hermanni	extinct	0.0117	2.588
Testudo_graeca	extant	3.2	5.333
Titanochelon_bacharidisi	extinct	3.2	5.333
Titanochelon_perpiniana	extinct	2.588	5.333
Titanochelon_gymnesica	extinct	0.0117	2.588
Megalochelys_sivalensis	extinct	2.588	3.6
Megalochelys_sivalensis	extinct	2.588	3.6
Pelorochelon_soriana	extinct	38	41.3
Testudo_graeca	extant	0.781	2.588
Titanochelon_bolivari	extinct	15.97	20
Paleotestudo_antiqua	extinct	8.7	11.608
Paleotestudo_antiqua	extinct	8.7	11.608
Testudo_sphaerica	extinct	8.7	11.608
Testudo_sphaerica	extinct	5.333	8.7
Testudo_graeca	extant	0.126	0.781
Chersine_hermanni	extinct	0.126	0.781
Chersine_hermanni	extinct	0.126	0.781
Chersine_hermanni	extinct	0.126	0.781
Indotestudo_takasago	extinct	23.03	28.1
Sinohadrianus_sichuanensis	extinct	28.4	37.2
Geochelone_sulcata	extinct	0.0117	2.588
Chersine_hermanni	extinct	0.0117	5.333
Testudo_marginata	extant	0.0117	5.333
Gopherus_polyphemus	extant	0.012	0.3
Hesperotestudo_crassiscutata	extinct	0.012	0.3
Testudo_emys	extinct	3.6	5.333
Miotestudo_ibba	extinct	13.82	15.97
Testudo_marmorum	extinct	5.333	11.608
Hesperotestudo_crassiscutata	extinct	0.3	1.8
Chersina_angulata	extant	0.0117	2.588
Gopherus_polyphemus	extant	0.0117	2.588
Gigantochersina_ammon	extinct	28.1	33.9
Gigantochersina_ammon	extinct	28.1	33.9
Megalochelys_sivalensis	extinct	5.333	11.608
Chersine_hermanni	extinct	0.126	0.781
Hesperotestudo_crassiscutata	extinct	1.8	4.9
Hesperotestudo_turgida	extinct	4.9	10.3
Hesperotestudo_turgida	extinct	5.333	23.03
Namibchersus_namaquensis	extinct	11.608	23.03
Namibchersus_namaquensis	extinct	11.608	23.03
Ergilemys_insolitus	extinct	33.9	37.2
Gopherus_donlaloi	extinct	0.012	0.3
Chelonoidis_gringorum	extinct	15.97	23.03
Stylemys_inusitata	extinct	15.97	23.03
Protestudo_bessarabica	extinct	5.333	11.608
Protestudo_bessarabica	extinct	7.246	11.62
Protestudo_bessarabica	extinct	7.246	11.62
Testudo_tarakliensis	extinct	7.246	11.62
Gopherus_agassizii	extant	0.0117	0.126
Geochelone_(Hesperotestudo)_wilsoni	extinct	0.0117	0.126
Geochelone_(Hesperotestudo)_wilsoni	extinct	0.0117	0.126
Geochelone_(Hesperotestudo)_wilsoni	extinct	0.0117	0.126
Hesperotestudo_crassiscutata	extinct	0.0117	0.126
Hesperotestudo_turgida	extinct	1.8	4.9
Chelonoidis_hesterna	extinct	5.333	11.608
Hesperotestudo_crassiscutata	extinct	0.0117	2.588
Megalochelys_sivalensis	extinct	5.333	11.608
Chelonoidis_gringorum	extinct	17.5	21
Geochelone_radiata	extinct	0	0.0117
Geochelone_radiata	extinct	0	0.0117
Hesperotestudo_crassiscutata	extinct	0.0117	0.126
Megalochelys_sivalensis	extinct	0.781	2.588
Megalochelys_sivalensis	extinct	2.588	3.6
Megalochelys_sivalensis	extinct	2.588	3.6
Gopherus_laticuneus	extinct	33.3	33.9
