Species	Status
Alatochelon_myrteum	extinct
Aldabrachelys_gigantea	extant
Anhuichelys_doumuensis	extinct
Anhuichelys_siaoshihensis	extinct
Anhuichelys_tsienshanensis	extinct
Cachuga_tectum	extinct
Centrochelys_burchardi	extinct
Centrochelys_marocana	extinct
Centrochelys_punica	extinct
Centrochelys_vulcanica	extinct
Cheirogaster_maurini	extinct
Chelonoidis_alburyorum	extinct
Chelonoidis_australis	extinct
Chelonoidis_carbonarius	extant
Chelonoidis_chilensis	extant
Chelonoidis_cubensis	extinct
Chelonoidis_denticulata	extinct
Chelonoidis_dominicensis	extinct
Chelonoidis_gallardoi	extinct
Chelonoidis_gringorum	extinct
Chelonoidis_hesterna	extinct
Chelonoidis_lutzae	extinct
Chelonoidis_monensis	extinct
Chelonoidis_petrocellii	extinct
Chersina_angulata	extant
Chersine_hermanni	extinct
Chersine_khosatzkyi	extinct
Cylindraspis_inepta	extinct
Cylindraspis_triserrata	extinct
Eochersis_eiflaensis	extinct
Ergilemys_bruneti	extinct
Ergilemys_insolitus	extinct
Floridemys_nana	extinct
Fontainechelon_cassouleti	extinct
Geochelone_(Hesperotestudo)_angusticeps	extinct
Geochelone_(Hesperotestudo)_orthopygia	extinct
Geochelone_(Hesperotestudo)_wilsoni	extinct
Geochelone_carbonaria	extinct
Geochelone_demissa	extinct
Geochelone_elephantopus	extinct
Geochelone_kalganensis	extinct
Geochelone_laetoliensis	extinct
Geochelone_oskarkuhni	extinct
Geochelone_pardalis	extinct
Geochelone_radiata	extinct
Geochelone_stromeri	extinct
Geochelone_sulcata	extinct
Gigantochersina_ammon	extinct
Gopherus_agassizii	extant
Gopherus_auffenbergi	extinct
Gopherus_brevisternus	extinct
Gopherus_depressus	extinct
Gopherus_donlaloi	extinct
Gopherus_edae	extinct
Gopherus_hexagonatus	extinct
Gopherus_laticuneus	extinct
Gopherus_mohavensis	extinct
Gopherus_polyphemus	extant
Hesperotestudo_bermudae	extinct
Hesperotestudo_crassiscutata	extinct
Hesperotestudo_ducateli	extinct
Hesperotestudo_gilbertii	extinct
Hesperotestudo_harrisi	extinct
Hesperotestudo_orthopygia	extinct
Hesperotestudo_osborniana	extinct
Hesperotestudo_turgida	extinct
Hesperotestudo_williamsi	extinct
Homopus_comptoni	extinct
Homopus_fenestratus	extinct
Homopus_scutella	extinct
Homopus_signatus	extinct
Impregnochelys_pachytectis	extinct
Indotestudo_elongata	extant
Indotestudo_forstenii	extant
Indotestudo_kaiseni	extinct
Indotestudo_takasago	extinct
Juvemys_labarrerei	extinct
Kansuchelys_chiayukuanensis	extinct
Kansuchelys_ovalis	extinct
Kansuchelys_tsiyuanensis	extinct
Kinixys_erosa	extant
Manouria_emys	extant
Manouria_oyamai	extinct
Manouria_yushensis	extinct
Megalochelys_sivalensis	extinct
Mesochersus_orangeus	extinct
Miotestudo_ibba	extinct
Namibchersus_namaquensis	extinct
Palaeoemys_hessiaca	extinct
Palaeoemys_occitana	extinct
Paleotestudo_antiqua	extinct
Paleotestudo_canetotiana	extinct
Paleotestudo_mellingi	extinct
Pelorochelon_eocaenica	extinct
Pelorochelon_soriana	extinct
Protestudo_bessarabica	extinct
Psammobates_antiquorum	extinct
Sinohadrianus_ezoensis	extinct
Sinohadrianus_sichuanensis	extinct
Stigmochelys_brachygularis	extinct
Stigmochelys_crassa	extinct
Stylemys_bottii	extinct
Stylemys_capax	extinct
Stylemys_inusitata	extinct
Stylemys_karakolensis	extinct
Stylemys_nebrascensis	extinct
Taraschelon_gigas	extinct
Testudo_amberiacensis	extinct
Testudo_amiatae	extinct
Testudo_antiqua	extinct
Testudo_atlas	extinct
Testudo_bosporica	extinct
Testudo_brevitesta	extinct
Testudo_brontops	extinct
Testudo_cautleyi	extinct
Testudo_cernovi	extinct
Testudo_changshanensis	extinct
Testudo_chienfutungensis	extinct
Testudo_costarricensis	extinct
Testudo_craverii	extinct
Testudo_denizoti	extinct
Testudo_despotti	extinct
Testudo_emys	extinct
Testudo_escheri	extinct
Testudo_eurysternum	extinct
Testudo_globosa	extinct
Testudo_graeca	extant
Testudo_hellenica	extinct
Testudo_hexagonata	extinct
Testudo_hipparionum	extinct
Testudo_honanensis	extinct
Testudo_houzei	extinct
Testudo_hypercostata	extinct
Testudo_indica	extinct
Testudo_kalksburgensis	extinct
Testudo_kenitrensis	extinct
Testudo_lamanonii	extinct
Testudo_larteti	extinct
Testudo_lohanica	extinct
Testudo_lunanensis	extinct
Testudo_margae	extinct
Testudo_marginata	extant
Testudo_marmorum	extinct
Testudo_nanus	extinct
Testudo_oughlamensis	extinct
Testudo_pecorinii	extinct
Testudo_phosphoritarum	extinct
Testudo_promarginata	extinct
Testudo_pusilla	extinct
Testudo_shansiensis	extinct
Testudo_sharanensis	extinct
Testudo_shensiensis	extinct
Testudo_shilouensis	extinct
Testudo_sphaerica	extinct
Testudo_steinheimensis	extinct
Testudo_tarakliensis	extinct
Testudo_tunhuanensis	extinct
Testudo_ulanensis	extinct
Testudo_yunnanensis	extinct
Titanochelon_bacharidisi	extinct
Titanochelon_bolivari	extinct
Titanochelon_ginsburgi	extinct
Titanochelon_gymnesica	extinct
Titanochelon_kayadibiensis	extinct
Titanochelon_perpiniana	extinct
Titanochelon_schafferi	extinct
Titanochelon_vitodurana	extinct
